Corvo,259,209,17.11
Calheta (R. A. M.),5450,6436,111.52
Câmara de Lobos,17347,18341,52.15
Funchal,46371,53388,76.15
Machico,10342,10862,68.31
Ponta do Sol,3778,4518,46.19
Porto Moniz,1167,1539,82.93
Ribeira Brava,5693,6872,65.4
Santa Cruz,16954,17900,81.5
Santana,3862,4507,95.56
São Vicente,2848,3243,78.82
Porto Santo,2211,2177,42.48
